Total Number of Records            256.
             DATA SET: http://ddo-aviso.vlandata.cls.fr:41080/thredds/dodsC/dataset-duacs-rep-global-merged-allsat-phy-l4
             DT merged all satellites Global Ocean Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
             X: 0.5 to 256.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (days since 01-JAN-1950 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: ADT is Absolute dynamic topography (m)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,ADT
"13-AUG-2018",25061,123.875,24.875,1.5012  
"13-AUG-2018",25061,124.125,24.875,1.5256  
"13-AUG-2018",25061,124.375,24.875,1.5434  
"13-AUG-2018",25061,124.625,24.875,1.5548  
"13-AUG-2018",25061,124.875,24.875,1.5521  
"13-AUG-2018",25061,121.125,25.125,1.1169  
"13-AUG-2018",25061,121.375,25.125,1.1296  
"13-AUG-2018",25061,121.625,25.125,1.1083  
"13-AUG-2018",25061,121.875,25.125,1.0695  
"13-AUG-2018",25061,122.125,25.125,1.0162  
"13-AUG-2018",25061,122.375,25.125,0.9711  
"13-AUG-2018",25061,122.625,25.125,0.966  
"13-AUG-2018",25061,122.875,25.125,1.0314  
"13-AUG-2018",25061,123.125,25.125,1.1439  
"13-AUG-2018",25061,123.375,25.125,1.2621  
"13-AUG-2018",25061,123.625,25.125,1.3639  
"13-AUG-2018",25061,123.875,25.125,1.43  
"13-AUG-2018",25061,124.125,25.125,1.4674  
"13-AUG-2018",25061,124.375,25.125,1.4991  
"13-AUG-2018",25061,124.625,25.125,1.5287  
"13-AUG-2018",25061,124.875,25.125,1.5434  
"13-AUG-2018",25061,121.125,25.375,1.1184  
"13-AUG-2018",25061,121.375,25.375,1.1393  
"13-AUG-2018",25061,121.625,25.375,1.1317  
"13-AUG-2018",25061,121.875,25.375,1.0968  
"13-AUG-2018",25061,122.125,25.375,1.0365  
"13-AUG-2018",25061,122.375,25.375,0.9805  
"13-AUG-2018",25061,122.625,25.375,0.945  
"13-AUG-2018",25061,122.875,25.375,0.9664  
"13-AUG-2018",25061,123.125,25.375,1.04  
"13-AUG-2018",25061,123.375,25.375,1.1338  
"13-AUG-2018",25061,123.625,25.375,1.2278  
"13-AUG-2018",25061,123.875,25.375,1.3043  
"13-AUG-2018",25061,124.125,25.375,1.3617  
"13-AUG-2018",25061,124.375,25.375,1.4135  
"13-AUG-2018",25061,124.625,25.375,1.4638  
"13-AUG-2018",25061,124.875,25.375,1.5015  
"13-AUG-2018",25061,121.125,25.625,1.0939  
"13-AUG-2018",25061,121.375,25.625,1.134  
"13-AUG-2018",25061,121.625,25.625,1.1402  
"13-AUG-2018",25061,121.875,25.625,1.0976  
"13-AUG-2018",25061,122.125,25.625,1.0425  
"13-AUG-2018",25061,122.375,25.625,0.992  
"13-AUG-2018",25061,122.625,25.625,0.9508  
"13-AUG-2018",25061,122.875,25.625,0.936  
"13-AUG-2018",25061,123.125,25.625,0.9584  
"13-AUG-2018",25061,123.375,25.625,1.0106  
"13-AUG-2018",25061,123.625,25.625,1.0807  
"13-AUG-2018",25061,123.875,25.625,1.1527  
"13-AUG-2018",25061,124.125,25.625,1.2183  
"13-AUG-2018",25061,124.375,25.625,1.2825  
"13-AUG-2018",25061,124.625,25.625,1.3454  
"13-AUG-2018",25061,124.875,25.625,1.4014  
"13-AUG-2018",25061,121.125,25.875,1.0509  
"13-AUG-2018",25061,121.375,25.875,1.1031  
"13-AUG-2018",25061,121.625,25.875,1.1207  
"13-AUG-2018",25061,121.875,25.875,1.0823  
"13-AUG-2018",25061,122.125,25.875,1.0312  
"13-AUG-2018",25061,122.375,25.875,0.9858  
"13-AUG-2018",25061,122.625,25.875,0.9497  
"13-AUG-2018",25061,122.875,25.875,0.9242  
"13-AUG-2018",25061,123.125,25.875,0.9138  
"13-AUG-2018",25061,123.375,25.875,0.931  
"13-AUG-2018",25061,123.625,25.875,0.975  
"13-AUG-2018",25061,123.875,25.875,1.0276  
"13-AUG-2018",25061,124.125,25.875,1.0768  
"13-AUG-2018",25061,124.375,25.875,1.127  
"13-AUG-2018",25061,124.625,25.875,1.18  
"13-AUG-2018",25061,124.875,25.875,1.2391  
