PLATFORM,ARGOS_ID,DATE (yyyy-mm-ddThh:mi:ssZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH LEVEL0 (meter),QC
5200811,127025,2015-11-10T18:00:00Z,21.5470,140.8919,0,001117
5200811,127025,2015-11-10T19:00:00Z,21.5470,140.8919,0,001117
5200811,127025,2015-11-10T20:00:00Z,21.5481,140.8717,0,001117
5200811,127025,2015-11-10T21:00:00Z,21.5442,140.8648,0,001117
5200811,127025,2015-11-10T22:00:00Z,21.5464,140.8611,0,001117
5200811,127025,2015-11-10T23:00:00Z,21.5536,140.8477,0,001117
5200811,127025,2015-11-11T00:00:00Z,21.5540,140.8444,0,001117
5200811,127025,2015-11-11T01:00:00Z,21.5512,140.8413,0,001117
5200811,127025,2015-11-11T02:00:00Z,21.5512,140.8413,0,001117
5200811,127025,2015-11-11T03:00:00Z,21.5512,140.8413,0,001117
5200811,127025,2015-11-11T04:00:00Z,21.5564,140.8075,0,001117
5200811,127025,2015-11-11T05:00:00Z,21.5564,140.8075,0,001117
5200811,127025,2015-11-11T06:00:00Z,21.5567,140.8076,0,001117
5200811,127025,2015-11-11T07:00:00Z,21.5578,140.7925,0,001117
5200811,127025,2015-11-11T08:00:00Z,21.5632,140.7853,0,001117
5200811,127025,2015-11-11T09:00:00Z,21.5704,140.7698,0,001117
5200811,127025,2015-11-11T10:00:00Z,21.5691,140.7657,0,001117
5200811,127025,2015-11-11T16:00:00Z,21.5939,140.7112,0,001117
5200811,127025,2015-11-11T17:00:00Z,21.5939,140.7112,0,001117
5200811,127025,2015-11-11T18:00:00Z,21.5939,140.7112,0,001117
5200811,127025,2015-11-11T19:00:00Z,21.6075,140.6956,0,001117
5200811,127025,2015-11-11T20:00:00Z,21.6062,140.6961,0,001117
5200811,127025,2015-11-11T21:00:00Z,21.6113,140.6882,0,001117
5200811,127025,2015-11-11T22:00:00Z,21.6110,140.6876,0,001117
5200811,127025,2015-11-11T23:00:00Z,21.6110,140.6876,0,001117
5200811,127025,2015-11-12T00:00:00Z,21.6222,140.6641,0,001117
5200811,127025,2015-11-12T01:00:00Z,21.6159,140.6555,0,001117
5200811,127025,2015-11-12T02:00:00Z,21.6159,140.6555,0,001117
5200811,127025,2015-11-12T03:00:00Z,21.6449,140.6090,0,001447
5200811,127025,2015-11-12T04:00:00Z,21.6449,140.6090,0,001117
5200811,127025,2015-11-12T05:00:00Z,21.6451,140.6094,0,001117
5200811,127025,2015-11-12T06:00:00Z,21.6561,140.5821,0,001117
5200811,127025,2015-11-12T07:00:00Z,21.6559,140.5835,0,001117
5200811,127025,2015-11-12T08:00:00Z,21.6656,140.5783,0,001117
5200811,127025,2015-11-12T09:00:00Z,21.6796,140.5695,0,001117
5200811,127025,2015-11-12T10:00:00Z,21.6796,140.5695,0,001117
5200811,127025,2015-11-12T11:00:00Z,21.6949,140.5419,0,001117
5200811,127025,2015-11-12T12:00:00Z,21.6997,140.5444,0,001117
5200811,127025,2015-11-12T13:00:00Z,21.7066,140.5395,0,001117
5200811,127025,2015-11-12T14:00:00Z,21.7066,140.5395,0,001117
5200811,127025,2015-11-12T15:00:00Z,21.7066,140.5395,0,001117
5200811,127025,2015-11-12T16:00:00Z,21.7339,140.4964,0,001117
5200811,127025,2015-11-12T17:00:00Z,21.7339,140.4964,0,001117
5200811,127025,2015-11-12T18:00:00Z,21.7339,140.4964,0,001117
5200811,127025,2015-11-12T19:00:00Z,21.7339,140.4964,0,001117
5200811,127025,2015-11-12T20:00:00Z,21.7476,140.4832,0,001117
5200811,127025,2015-11-12T21:00:00Z,21.7573,140.4768,0,001117
5200811,127025,2015-11-12T22:00:00Z,21.7597,140.4716,0,001117
5200811,127025,2015-11-12T23:00:00Z,21.7719,140.4424,0,001117
5200811,127025,2015-11-13T00:00:00Z,21.7719,140.4424,0,001117
5200811,127025,2015-11-13T01:00:00Z,21.7617,140.4444,0,001117
5200811,127025,2015-11-13T02:00:00Z,21.7616,140.4441,0,001117
5200811,127025,2015-11-13T03:00:00Z,21.7900,140.3587,0,001447
5200811,127025,2015-11-13T04:00:00Z,21.7900,140.3587,0,001117
5200811,127025,2015-11-13T05:00:00Z,21.7903,140.3593,0,001117
5200811,127025,2015-11-13T06:00:00Z,21.8093,140.3305,0,001117
5200811,127025,2015-11-13T07:00:00Z,21.8146,140.3204,0,001117
5200811,127025,2015-11-13T08:00:00Z,21.8143,140.3202,0,001117
5200811,127025,2015-11-13T09:00:00Z,21.8387,140.2994,0,001117
5200811,127025,2015-11-13T10:00:00Z,21.8709,140.2654,0,001117
5200811,127025,2015-11-13T11:00:00Z,21.8709,140.2654,0,001117
5200811,127025,2015-11-13T12:00:00Z,21.8793,140.2587,0,001117
5200811,127025,2015-11-13T13:00:00Z,21.8916,140.2565,0,001117
5200811,127025,2015-11-13T14:00:00Z,21.8916,140.2565,0,001117
5200811,127025,2015-11-13T15:00:00Z,21.9495,140.1919,0,001447
5200811,127025,2015-11-13T16:00:00Z,21.9495,140.1919,0,001117
5200811,127025,2015-11-13T17:00:00Z,21.9495,140.1919,0,001117
5200811,127025,2015-11-13T18:00:00Z,21.9495,140.1919,0,001117
5200811,127025,2015-11-13T19:00:00Z,21.9495,140.1919,0,001117
5200811,127025,2015-11-13T20:00:00Z,21.9796,140.1658,0,001117
5200811,127025,2015-11-13T21:00:00Z,22.0083,140.1430,0,001117
5200811,127025,2015-11-13T22:00:00Z,22.0090,140.1425,0,001117
5200811,127025,2015-11-13T23:00:00Z,22.0083,140.1430,0,001117
5200811,127025,2015-11-14T00:00:00Z,22.0590,140.0997,0,001447
5200811,127025,2015-11-14T01:00:00Z,22.0890,140.0910,0,001117
5200811,127025,2015-11-14T02:00:00Z,22.0868,140.0879,0,001117
5200811,127025,2015-11-14T03:00:00Z,22.1306,140.0699,0,001117
5200811,127025,2015-11-14T04:00:00Z,22.1306,140.0699,0,001117
5200811,127025,2015-11-14T05:00:00Z,22.1306,140.0699,0,001117
5200811,127025,2015-11-14T06:00:00Z,22.1306,140.0699,0,001117
5200811,127025,2015-11-14T07:00:00Z,22.1630,140.0428,0,001117
5200811,127025,2015-11-14T08:00:00Z,22.1809,140.0366,0,001117
5200811,127025,2015-11-14T09:00:00Z,22.1949,140.0121,0,001117
5200811,127025,2015-11-14T10:00:00Z,22.1949,140.0121,0,001117
5200811,127025,2015-11-14T11:00:00Z,22.2238,139.9721,0,001117
5200811,127025,2015-11-14T12:00:00Z,22.2383,139.9663,0,001117
5200811,127025,2015-11-14T13:00:00Z,22.2383,139.9663,0,001117
5200811,127025,2015-11-14T14:00:00Z,22.2517,139.9435,0,001117
5200811,127025,2015-11-14T15:00:00Z,22.2517,139.9435,0,001117
