PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PRES_ADJUSTED (decibar),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,623.9,6.684,34.385,623.9,6.684,34.3854,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,648.7,6.488,34.39,648.7,6.488,34.3902,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,698.8,6.259,34.397,698.8,6.259,34.3973,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,749.3,5.996,34.409,749.3,5.996,34.4093,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,799,5.76,34.419,799,5.76,34.4193,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,849.4,5.461,34.427,849.4,5.461,34.4271,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,899.5,5.387,34.431,899.5,5.387,34.4313,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,949.2,5.057,34.455,949.2,5.057,34.4552,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,998.8,4.886,34.465,998.8,4.886,34.4655,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
2901167,40956,2008-12-28T11:29:42Z,20.9760,121.0650,1048.5,4.403,34.501,1048.5,4.403,34.5014,00111111111,0058_40956_008,PRES,PRES_ADJUSTED = PRES - dP,dP =  0.0 dbar.,Pressures adjusted by using pressure offset at the sea surface. The quoted error is manufacturer specified accuracy in dbar.,PRES,28/06/2011 05:04:33,Primary sampling: discrete [],1,1,D
