PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,STATION_NUMBER
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,164,21.594,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,165,21.4765,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,166,21.376,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,167,21.351,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,168,21.2905,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,169,21.145,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,170,21.0455,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,171,20.992,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,172,20.956,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,173,20.921,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,174,20.9135,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,175,20.91,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,176,20.869,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,177,20.858,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,178,20.856,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,179,20.843,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,180,20.8245,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,181,20.802,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,182,20.771,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,183,20.766,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,184,20.7655,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,185,20.714,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,186,20.6735,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,187,20.63,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,188,20.5325,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,189,20.393,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,190,20.2995,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,191,20.249,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,192,20.227,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,193,20.2165,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,194,20.202,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,195,20.1755,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,196,20.145,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,197,20.1005,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,198,20.01,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,199,19.944,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,200,19.897,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,201,19.8565,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,202,19.83,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,203,19.739,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,204,19.617,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,205,19.523,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,206,19.485,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,207,19.4385,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,208,19.437,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,209,19.428,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,210,19.416,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,211,19.413,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,212,19.387,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,213,19.378,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,214,19.354,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,215,19.327,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,216,19.313,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,217,19.286,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,218,19.255,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,219,19.207,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,220,19.1835,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,221,19.173,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,222,19.153,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,223,19.126,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,224,19.109,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,225,19.102,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,226,19.0835,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,227,19.034,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,228,18.974,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,229,18.935,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,230,18.887,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,231,18.8715,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,232,18.856,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,233,18.8365,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,234,18.843,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,235,18.8265,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,236,18.813,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,237,18.8195,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,238,18.803,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,239,18.755,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,240,18.72,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,241,18.619,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,242,18.45,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,243,18.342,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,244,18.2895,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,245,18.257,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,246,18.188,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,247,18.109,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,248,18.0545,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,249,18,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,250,17.9615,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,251,17.949,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,252,17.896,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,253,17.866,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,254,17.847,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,255,17.834,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,256,17.82,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,257,17.809,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,258,17.779,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,259,17.7405,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,260,17.68,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,261,17.6545,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,262,17.617,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,263,17.61,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,264,17.601,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,265,17.5855,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,266,17.52,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,267,17.4635,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,268,17.433,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,269,17.416,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,270,17.38,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,271,17.3505,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,272,17.346,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,273,17.327,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,274,17.2915,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,275,17.263,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,276,17.266,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,277,17.244,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,278,17.232,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,279,17.232,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,280,17.2085,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,281,17.213,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,282,17.172,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,283,17.118,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,284,17.0375,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,285,16.987,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,286,16.948,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,287,16.912,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,288,16.848,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,289,16.776,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,290,16.719,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,291,16.661,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,292,16.642,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,293,16.612,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,294,16.579,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,295,16.545,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,296,16.529,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,297,16.514,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,298,16.4885,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,299,16.481,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,300,16.461,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,301,16.399,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,302,16.3505,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,303,16.334,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,304,16.265,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,305,16.217,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,306,16.159,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,307,16.098,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,308,16.085,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,309,16.069,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,310,16.0505,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,311,16.0285,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,312,16.006,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,313,15.9885,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,314,15.98,011111,13098775
ONDB,2009-01-03T22:57:00Z,18.0000,125.3900,315,15.971,011111,13098775
