PLATFORM,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),DEPH (meter),TEMP (degree_Celsius),QC,BATHY,BATHY_QC,STATION_GLOBAL_QC
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,304,17.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,306,17.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,308,17,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,310,17,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,312,16.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,314,16.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,316,16.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,318,16.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,320,16.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,322,16.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,324,16.6,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,326,16.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,328,16.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,330,16.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,332,16.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,334,16.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,336,16.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,338,16,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,340,15.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,342,15.8,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,344,15.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,346,15.5,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,348,15.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,350,15.4,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,352,15.3,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,354,15.2,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,356,15.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,358,15.1,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,360,15,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,362,14.9,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,364,14.7,011111, ,9,1
WDD6033,2009-01-08T05:16:00Z,18.4250,129.8450,366,14.7,011111, ,9,1
