PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),TEMP_ADJUSTED (degree_Celsius),PSAL_ADJUSTED (psu),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER,DATA_MODE
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,109.2,25.22,34.506,25.22,34.506,109.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,118.9,25.221,34.507,25.221,34.507,118.9,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,129.2,25.2,34.512,25.2,34.512,129.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,139.4,25.061,34.551,25.061,34.551,139.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,149.6,24.694,34.602,24.694,34.602,149.6,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,159.2,24.362,34.627,24.362,34.627,159.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,169.3,24.044,34.671,24.044,34.671,169.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,179.3,23.632,34.704,23.632,34.704,179.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,189.2,23.073,34.733,23.073,34.733,189.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,199.3,22.663,34.726,22.663,34.726,199.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,219.7,21.114,34.763,21.114,34.763,219.7,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,239.1,19.096,34.757,19.096,34.757,239.1,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,259.3,17.592,34.709,17.592,34.709,259.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,279.2,16.728,34.673,16.728,34.673,279.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,299.2,16.069,34.646,16.069,34.646,299.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,319.3,15.421,34.617,15.421,34.617,319.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,339.4,15.012,34.593,15.012,34.593,339.4,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,359.2,14.656,34.575,14.656,34.575,359.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,379.2,14.206,34.553,14.206,34.553,379.2,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,399.3,13.21,34.51,13.21,34.51,399.3,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,418.8,11.989,34.471,11.989,34.471,418.8,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
2900518,29481,2009-01-03T02:55:45Z,22.1800,121.8530,439.6,11.245,34.444,11.245,34.444,439.6,00111111222,A0_01864_006,PRES,none,none,TNPD : APEX float that truncated negative surface pressure drift,PRES,25/09/2017 14:48:00,Primary sampling: discrete [],1,1,D
